No,City,1991,2001,2011,lat,lng
1,London,"6,715,769","7,208,384","8,250,205",51.5072,-0.1275
2,Birmingham,"965,928","970,892","1,085,810",52.48,-1.9025
3,Glasgow,...,"575,132","590,507",55.8609,-4.2514
4,Liverpool,"538,386","523,783","552,267",53.4,-2.9833
5,Bristol,"496,044","516,997","535,907",51.45,-2.5833
6,Sheffield,"457,805","469,127","518,090",53.3833,-1.4667
7,Manchester,"447,863","438,752","510,746",53.4794,-2.2453
8,Leeds,"424,194","445,795","474,632",53.7997,-1.5492
9,Edinburgh,"400,632","431,393","459,366",55.953,-3.189
10,Leicester,"377,700","401,448","443,760",52.6333,-1.1333
11,Bradford,"305,101","311,130","349,561",53.8,-1.75
12,Cardiff,"276,464","296,808","335,145",51.4833,-3.1833
13,Coventry,"299,316","305,854","325,949",52.4081,-1.5106
14,Nottingham,"270,222","249,584","289,301",52.95,-1.15
15,Kingston upon Hull,"310,636","301,416","284,321",53.7444,-0.3325
16,Belfast,"279,237","276,705","280,561",54.5964,-5.93
17,Stoke-on-Trent,"266,543","259,252","270,726",53,-2.1833
18,Newcastle upon Tyne,"255,362","254,777","268,064",55.0077,-1.6578
19,Derby,"223,836","229,407","255,394",52.9167,-1.4667
20,Southampton,"210,138","234,224","253,651",50.9,-1.4
21,Portsmouth,...,...,"238,137",50.8058,-1.0872
22,Plymouth,...,...,"234,982",50.3714,-4.1422
23,Brighton and Hove,"192,453","206,628","229,700",50.827778,-0.152778
24,Reading,"213,474",...,"218,705",51.4542,-0.9731
25,Northampton,"183,082","197,199","215,173",52.240479,-0.902656
26,Luton,"171,671","185,543","211,228",51.8783,-0.4147
27,Wolverhampton,...,...,"210,319",52.5833,-2.1333
28,Aberdeen,"182,133","185,226","195,021",57.15,-2.11
29,Bolton,...,...,"194,189",53.578,-2.429
30,Bournemouth,"155,488","167,527","187,503",50.72,-1.88
31,Norwich,"171,304","174,047","186,682",52.63,1.297
32,Swindon,"145,236","155,432","182,441",51.568535,-1.772232
33,Swansea,"171,038","169,880","179,485",51.621441,-3.943646
34,Southend-on-Sea,"158,517","160,257","175,547",51.53782,0.71433
35,Middlesbrough,"184,773","175,479","174,700",54.5767,-1.2355
36,Sunderland,"183,310","177,739","174,286",54.9061,-1.3811
37,Milton Keynes,"102,428","122,041","171,750",52.04,-0.76
38,Warrington,"152,458","158,195","165,456",53.3917,-2.5972
39,Huddersfield,"147,847","149,938","162,949",53.64904,-1.78416
40,Peterborough,"134,788","136,292","161,707",52.573921,-0.25083
41,Oxford,"118,795","143,016","159,994",51.7519,-1.2578
42,Slough,"121,811","137,736","155,298",51.51,-0.59
43,Poole,"138,479","144,800","154,718",50.7167,-1.9833
44,York,"124,609","137,505","152,841",53.9583,-1.0803
45,Blackpool,"146,262","142,283","147,663",53.8142,-3.0503
46,Dundee,...,"145,817","147,285",56.462,-2.9707
47,Cambridge,"109,912","127,713","145,818",52.205276,0.119167
48,Ipswich,"130,157","138,718","144,957",52.0594,1.1556
49,Birkenhead,"149,164","137,634","142,968",53.389991,-3.023009
50,Telford,"114,251","131,489","142,723",52.6766,-2.4469
51,Gloucester,"114,003","123,205","136,362",51.864445,-2.244444
52,Sale,...,...,"134,022",53.424,-2.322
53,Watford,"113,080","120,960","131,982",51.656489,-0.39032
54,Newport,"115,522","118,323","128,060",51.5833,-3
55,Solihull,"118,103","118,907","123,187",52.413,-1.778
56,High Wycombe,"106,123","110,473","120,256",51.628611,-0.748229
57,Gateshead,"118,212","112,599","120,046",54.95,-1.6
58,Colchester,"96,063","104,390","119,441",51.8917,0.903
59,Blackburn,...,...,"117,963",53.748,-2.482
60,Cheltenham,"102,633","110,320","116,447",51.9,-2.0667
61,Exeter,"94,717","106,772","113,507",50.7167,-3.5333
62,Chelmsford,"97,451","99,962","110,507",51.7361,0.4798
63,Doncaster,"103,580","101,056","109,805",53.515,-1.133
64,Rotherham,...,...,"109,691",53.43,-1.357
65,Eastbourne,"94,793","106,562","109,185",50.768036,0.290472
66,Worthing,...,...,"109,120",50.8147,-0.3714
67,Sutton Coldfield,"106,001","105,452","109,015",52.563,-1.822
68,Rochdale,"100,935","102,888","107,926",53.6136,-2.161
69,Maidstone,...,...,"107,627",51.272644,0.52527
70,Basingstoke,"81,228","93,963","107,355",51.2667,-1.0876
71,Basildon,"100,924","99,876","107,123",51.572376,0.470009
72,Crawley,"88,203","100,547","106,943",51.1092,-0.1872
73,Stockport,...,...,"105,878",53.40979,-2.15761
74,Woking,"101,484","105,262","105,367",51.3162,-0.561
75,Gillingham,"94,923","98,403","104,157",51.385,0.55
76,Salford,...,...,"103,886",53.483,-2.2931
77,Wigan,"98,070","92,415","103,608",53.5448,-2.6318
78,St Helens,"106,293","102,629","102,885",53.4541,-2.7461
79,Lincoln,"97,996","104,221","100,160",53.2344,-0.5386
80,Worcester,"82,661","94,029","100,153",52.192,-2.22
